Property,0,1,2,3,4,5,6,7
First Cost,-0.4747863116613136,0.8154186067564329,-0.08967816589297824,0.26670467580144974,-0.16441024464110868,-0.04316038421364404,-0.03992452208435924,-0.0030629577354946962
Landed Cost,-0.47357853616353696,-0.30866610346554013,0.7670709484392044,0.2309223005404433,-0.1882749445359752,-0.02296178753963578,-0.05218388450427913,-0.005272722384149068
Hanger,-0.2906901701965524,0.012854557979147445,0.03263190256035549,0.03503532872792658,0.7169843174333239,0.4975191326069105,0.3859999030215172,0.04953732005866303
Packaging & Label,-0.020597679016545682,0.003644060058339769,0.010319776725983318,-0.11546121305997706,-0.21344655292785922,-0.2418015363234056,0.6105128259234368,0.7137025587668175
Trim,-0.13826419692780886,-0.0006201042643097858,3.1990016240393914e-05,-0.13141978806759724,0.3735594250870117,-0.15553827711514537,-0.6626613229234608,0.600626870012954
Wash,-0.23658991853461184,-0.013124510562773802,0.0029343876099576327,-0.24923254154335647,0.3769154301096915,-0.767013880531067,0.17756411187139357,-0.3461545017310777
Yarn Cost,-0.4088915825689434,-0.026400724333995075,-0.08332448126940367,-0.8118568484214226,-0.2800498958305003,0.27834519740314567,-0.05397586630239456,-0.08508100102937603
Tertiary Cost,-0.4723263542450678,-0.4886405406227361,-0.628837870148933,0.34997882543053876,-0.1336265117187647,-0.04047431008125159,-0.01996502237154244,0.017977080777030113
